ID;Title;_description;Vendor State;Vendor Category;url;facebook;instagram;Image Featured;image-1;image-2;image-3;Emerging;Participation;Aust Made;PricePoint;Environmental;Archive
;A Small Art Factory;A Small Art Factory create free-standing and wall art made from rusted steel and copper using laser cutting and hard forming techniques. Created by husband and wife team, Anna Small and Warren Pickering in South Australia, their latest range includes smaller insect wall art and laser cut jewellery.;South Australia;Homewares;asmallartfactory.com.au;asmallartfactory;asmallartfactory;https://staging.bowerbird.net.au/vendors/A-Small-Art-Factory-Butterfly.jpg;https://staging.bowerbird.net.au/vendors/A-Small-Art-Factory-Butterfly.jpg;https://staging.bowerbird.net.au/vendors/A-Small-Art-Factory-Bee.jpg;https://staging.bowerbird.net.au/vendors/Animoz-Orca-Card.jpg;FALSE;;;;;
;ANiMOZ;ANiMOZ is a trading card game for kids of all ages, teaching them about the incredible world of Australian wildlife through engaging gameplay and animals with superpowers. Each card features a different native Australian animal, and includes information like their type, size, endangerment status and more.;South Australia;For Kids;animoz.world;animozworld;animozworld;https://staging.bowerbird.net.au/vendors/Animoz-Starter-Pack.jpg;https://staging.bowerbird.net.au/vendors/Animoz-Starter-Pack.jpg;https://staging.bowerbird.net.au/vendors/Animoz-Booster-Pack.jpg;https://staging.bowerbird.net.au/vendors/A-Small-Art-Factory-Small-Metal-Cicada.jpg;FALSE;;;;;
;Anja Jagsch;"Anja Jagsch makes jewellery inspired by nature - the range includes beautiful earrings, studs, rings, brooches, necklaces, bracelets all hand made in Adelaide.
The work is predominantly made from silver using the 'lost wax cast' technique and botanicals that Anja sources from her surrounds. Each piece is a truly unique, one of a kind piece, just like nature. They come in a variety of finishes: silver, black and warm yellow and pink gold plating.";South Australia;Jewellery;anjajagsch.com;anja-jagsch-arts-jewellery;anjajagsch;https://staging.bowerbird.net.au/vendors/Anja-Jagsch-3D-Ring.jpg;https://staging.bowerbird.net.au/vendors/Anja-Jagsch-3D-Ring.jpg;https://staging.bowerbird.net.au/vendors/Anja-Jagsch-Acorn.jpg;https://staging.bowerbird.net.au/vendors/Anja-Jagsch-Gumnut-Rings.jpg;FALSE;;;;;
;Art by Alexia;Alexia is an artist, teacher and young mum from the picturesque Clare Valley Wine Region - she sells both original paintings, and Giclee fine art prints. She creates beautiful works of art using watercolours and acrylic paints. These landscapes are playful and colourful and she enjoys capturing the vastness and beauty of our country.;South Australia;Art & Stationery;artbyalexiaprokopec.com;artbyalexiaprokopec;artbyalexiaprokopec;https://staging.bowerbird.net.au/vendors/Art-by-Alexia-Kookaburra-and-Kingfisher-Art-Prints.jpg;https://staging.bowerbird.net.au/vendors/Art-by-Alexia-Kookaburra-and-Kingfisher-Art-Prints.jpg;https://staging.bowerbird.net.au/vendors/Art-by-Alexia-Armagh-Art-Print.jpg;https://staging.bowerbird.net.au/vendors/Art-by-Alexia-Quarry-Hill-Art-Print.jpg;TRUE;New to Bowerbird;;;;
;Astor + Tyne;"Astor + Tyne is an Australian fashion brand passionate about confident, independent women. Designed and developed in Adelaide with accredited ethical clothing manufacturers in Melbourne, a team in Adelaide, and a small team overseas.
An important aspect of the label's interest is in supporting a safe industry for fashion workers and giving consumers the opportunity to embrace the movement towards buying local, conscious purchasing and slow fashion.";South Australia;Clothing & Textiles;astorandtyne.com.au;astorandtynelabel;astorandtyne;https://staging.bowerbird.net.au/vendors/Astor-and-Tyne-Applaud-Tie.jpg;https://staging.bowerbird.net.au/vendors/Astor-and-Tyne-Applaud-Tie.jpg;https://staging.bowerbird.net.au/vendors/Astor-and-Tyne-Austere-Toward.jpg;https://staging.bowerbird.net.au/vendors/Astor-and-Tyne-Toward-Twill.jpg;FALSE;;;;;
;Back 2 Basics Traditions;"The mission of Back 2 Basics Traditions is to preserve the knowledge of their ancestors and to pass them on to future generations.
Back 2 Basics Traditions create high quality traditional foods which are seasonally hand-made. These products contain no artificial preservatives, are predominantly gluten free and are largely sourced from local South Australian and Australian growers and are produced in limited quantities.
The range includes fig and olive crackers, southern Italian torrone, broad bean chips, orange and almond biscotti, sundried olives, almond bread, infused olive oils, vino cotto and award-winning cello liqueurs.";South Australia;Pantry & Bar;b2btraditions.com.au;b2btraditions;b2btraditions;https://staging.bowerbird.net.au/vendors/Back-2-Basics-Traditions-Fig-Olive-Crackers-Olive-Oil.jpg;https://staging.bowerbird.net.au/vendors/Back-2-Basics-Traditions-Fig-Olive-Crackers-Olive-Oil.jpg;https://staging.bowerbird.net.au/vendors/Back-2-Basics-Traditions-Broad-Bean-Chips.jpg;;FALSE;;;;;
;Berry Beret;"Inspired by the bright, vibrant colours of the Australian bush surrounding Tracey Clark's property, every Berry Beret piece represents the dream she's had since she was a little girl - to express her creativity through jewellery.
Dangles or studs, bright or natural-toned, every piece is completely unique, handmade, and paired with high quality stainless steel poles.";South Australia;Jewellery;berryberet.com.au;berryberet;berry_beret;https://staging.bowerbird.net.au/vendors/Berry-Beret-Statement-Dangles.jpg;https://staging.bowerbird.net.au/vendors/Berry-Beret-Statement-Dangles.jpg;;;FALSE;;;;;
;Bianca Smith Designs;"Adelaide artist and designer Bianca Smith, showcases an exquisite collection of beautifully illustrated and inspiring greeting cards, journals, pillows, prints and canvases that are thought provoking and delight the soul.
Bianca�s passion is to tell a story through her work, inspired by feminine strength and beauty, and influenced by women in the arts as well as the confident diverse and courageous women in her life. 
She is motivated to empower women and inspire feelings of self-love and worthiness, creating art, journals and homewares that reinforce positive thinking and enhance the calm serene and inviting aesthetic of a space.
Her work is illustrated, designed and made in Australia.";South Australia;Art & Stationery;biancasmith.com.au;biancasmithartist;biancasmithartist;https://staging.bowerbird.net.au/vendors/Bianca-Smith-Journal-Cover.jpg;https://staging.bowerbird.net.au/vendors/Bianca-Smith-Journal-Cover.jpg;https://staging.bowerbird.net.au/vendors/Bianca-Smith-Artwork.jpg;https://staging.bowerbird.net.au/vendors/Bianca-Smith-Journal.jpg;FALSE;;;;;
;Bloomingwell;Bloomingwell was created with a focus of revitalising, repairing and nourishing our skin. The range consists of many products including shampoo bars, cleaners, serums, balms, hand creams, bath oil and a specific range for men including beard oil and shaving soap.;South Australia;Body & Soul;bloomingwell.com.au;bloomingwell-skincare-101708515408291;bloomingwellsca;https://staging.bowerbird.net.au/vendors/Bloomingwell-Daisys-Daytime-Moisturiser.jpg;https://staging.bowerbird.net.au/vendors/Bloomingwell-Daisys-Daytime-Moisturiser.jpg;https://staging.bowerbird.net.au/vendors/Bloomingwell-Lolitas-Luxe-Serum.jpg;https://staging.bowerbird.net.au/vendors/Bloomingwell-Lulus-Lip-Balm.jpg;TRUE;New to Bowerbird;;;;
;Bluebell Design;"Bluebell Design was born from a love of precious metals and beautiful natural gemstones - anything that glitters!
The creator, Michelle enjoys creating long-lasting one-of-a-kind pieces that bring happiness. Her range features various gemstones including sapphire, tourmaline and sapphire created into beautiful rings, necklaces and earrings.";South Australia;Jewellery;bluebelldesign.com.au;bluebelldesignjewellery;bluebelldesignjewellery;https://staging.bowerbird.net.au/vendors/Bluebell-Design-Gold-Rings.jpg;https://staging.bowerbird.net.au/vendors/Bluebell-Design-Gold-Rings.jpg;https://staging.bowerbird.net.au/vendors/Bluebell-Design-Mixed-Rings.jpg;https://staging.bowerbird.net.au/vendors/Bluebell-Design-Silver-Opal-Rings.jpg;FALSE;New to Bowerbird;;;;
